waktu,whs_DAIHATSU,whs_HONDA,whs_MITSUBISHI,whs_SUZUKI,whs_TOYOTA,prd_DAIHATSU,prd_HONDA,prd_MITSUBISHI,prd_SUZUKI,prd_TOYOTA,exp_DAIHATSU,exp_HONDA,exp_MITSUBISHI,exp_SUZUKI,exp_TOYOTA,imp_DAIHATSU,imp_HONDA,imp_MITSUBISHI,imp_SUZUKI,imp_TOYOTA
2021-01,1074,984,0,0,75,718,0,1096,220,14,0,0,0,0,0,2,0,2,0,102
2021-02,399,1041,0,0,282,574,240,104,158,0,0,0,0,0,0,38,0,0,114,190
2021-03,1449,1512,0,0,246,658,0,1140,462,22,0,0,0,0,0,80,0,0,254,248
2021-04,1059,984,0,0,213,706,0,2380,264,14,0,0,0,0,0,40,0,0,62,82
2021-05,705,225,0,0,9,470,0,1278,104,20,0,0,0,0,0,20,0,0,60,26
2021-06,2124,885,0,0,63,1416,0,1522,114,2,0,0,0,0,0,20,0,0,0,6
2021-07,342,777,0,0,93,228,0,790,60,0,0,0,0,0,0,0,0,0,0,60
2021-08,1410,360,0,0,111,940,0,2188,190,10,0,0,0,0,0,0,0,0,16,0
2021-09,1755,48,0,0,39,1170,0,1298,164,0,0,0,0,0,0,78,0,0,4,26
2021-10,2181,540,0,0,0,1454,0,766,108,0,0,0,0,0,0,2,0,0,0,2
2021-11,324,426,0,0,105,216,0,0,124,20,0,0,0,0,0,0,60,0,0,100
2021-12,882,747,0,0,153,590,0,0,92,6,0,0,0,0,0,0,0,0,0,66
2022-01,192,453,0,51,0,126,0,120,364,0,0,0,0,0,0,0,120,0,0,0
2022-02,999,1449,0,72,807,666,0,100,352,0,0,0,0,0,0,0,480,0,0,0
2022-03,582,2085,0,0,369,388,0,100,346,0,0,0,0,0,0,0,60,0,14,0
2022-04,315,918,0,0,759,210,0,50,252,0,0,0,0,0,0,0,120,0,160,0
2022-05,0,558,0,0,183,0,0,4,214,22,0,0,0,0,0,80,0,240,78,0
2022-06,87,504,6,0,393,58,120,0,270,38,0,0,0,0,0,60,60,2056,220,2
2022-07,273,66,0,0,2400,182,0,22,304,0,0,0,0,0,0,60,120,3756,14,0
2022-08,558,1353,0,0,5931,372,120,326,362,0,0,0,0,0,0,120,180,6274,138,0
2022-09,516,516,0,0,4515,344,0,48,282,0,0,0,0,0,0,120,60,3594,152,0
2022-10,954,591,0,0,4278,636,240,0,150,0,0,0,0,0,0,46,0,3358,48,0
2022-11,648,558,0,0,303,432,240,0,48,0,0,0,0,0,0,0,56,1712,302,0
2022-12,810,756,0,0,222,540,0,0,60,0,0,0,0,0,16,0,4,2552,34,0
2023-01,42,42,0,84,0,28,0,0,74,30,0,0,0,0,0,0,0,0,0,0
2023-02,114,894,0,54,306,80,120,0,126,14,0,0,0,0,0,0,0,0,0,0
2023-03,132,372,0,111,456,88,120,0,188,10,0,0,0,0,0,0,0,0,0,0
2023-04,0,312,0,267,246,0,0,0,92,8,0,0,0,0,0,0,0,0,0,0
2023-05,0,897,0,345,393,2,0,0,150,4,0,0,0,0,0,0,0,0,0,0
2023-06,165,540,0,270,144,108,0,0,392,0,0,0,0,0,0,0,0,0,0,0
2023-07,240,444,0,36,282,160,0,0,294,0,0,0,0,0,0,0,0,0,0,0
2023-08,102,537,0,15,102,68,0,0,584,0,0,0,0,0,2,0,0,0,0,0
2023-09,48,549,0,3,120,32,0,10,558,18,0,0,0,0,0,0,0,0,0,0
2023-10,57,654,0,3,42,38,0,88,404,2,0,0,0,0,0,0,0,0,0,0
2023-11,33,132,0,0,3,22,0,86,240,6,0,0,0,0,0,0,0,0,0,0
2023-12,24,933,0,0,3,16,0,0,160,10,0,0,0,0,0,0,0,0,0,0
2024-01,48,306,4,0,3,32,120,4,74,10,0,0,0,0,0,0,0,0,0,0
2024-02,30,138,4,183,30,20,250,148,2,4,0,0,0,0,16,0,0,0,0,0
2024-03,39,663,2742,273,45,26,0,28,198,0,0,0,0,0,0,0,0,0,0,0
2024-04,63,168,564,195,3,44,0,0,108,0,0,0,0,0,0,0,0,0,0,0
2024-05,60,294,3,225,18,40,0,2,136,6,0,0,0,0,0,0,0,0,0,0
2024-06,72,264,3,156,39,48,0,158,114,2,0,0,0,0,0,0,0,0,0,0
2024-07,0,303,2388,162,57,0,0,0,136,2,0,0,0,0,0,0,0,0,0,0
2024-08,0,48,2121,267,12,0,0,0,130,0,0,0,0,0,0,0,0,0,0,0
2024-09,36,45,2361,216,39,24,0,0,30,0,0,0,0,0,0,0,0,0,0,0
2024-10,0,6,2268,150,48,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0
2024-11,0,252,2274,210,27,0,0,0,328,0,0,0,0,0,0,0,0,0,0,0
2024-12,0,36,4,417,51,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0
2025-01,0,231,4,324,22,0,0,0,60,60,0,0,0,0,0,0,0,0,0,0
2025-02,0,72,3,51,2352,0,0,50,196,10,0,0,0,0,0,0,0,0,0,0
2025-03,0,39,2844,363,711,0,0,0,136,10,0,0,0,0,0,0,0,0,0,0
2025-04,0,30,1854,135,660,0,0,0,34,20,0,0,0,0,0,0,0,0,0,0
2025-05,0,0,2880,189,2400,0,0,0,46,40,0,0,0,0,0,0,0,0,0,0
2025-06,0,0,2436,138,1644,0,0,294,60,30,0,0,0,0,0,0,0,0,0,0
2025-07,0,99,1875,168,1326,0,0,106,54,34,0,0,0,0,0,0,0,0,0,0
2025-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
